https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume CFX,Volume USDT,tradecount
1656892800000,2022-07-04,CFXUSDT,0.048,0.0499,0.0473,0.0499,9277914.0,452530.9679,2959
1656806400000,2022-07-03,CFXUSDT,0.0491,0.0497,0.0476,0.048,8105041.0,392735.9357,2960
1656720000000,2022-07-02,CFXUSDT,0.0501,0.0505,0.0486,0.0491,6060381.0,299855.6351,2075
1656633600000,2022-07-01,CFXUSDT,0.0534,0.0546,0.05,0.0501,21741504.0,1131891.6872,5945
1656547200000,2022-06-30,CFXUSDT,0.0507,0.0542,0.0465,0.0533,42108146.0,2127855.4557,12913
1656460800000,2022-06-29,CFXUSDT,0.0517,0.0523,0.0502,0.0504,10285378.0,524672.1959,5179
1656374400000,2022-06-28,CFXUSDT,0.0534,0.0551,0.0516,0.0517,12164823.0,648689.9884,6229
1656288000000,2022-06-27,CFXUSDT,0.0539,0.0559,0.0528,0.0534,18112420.0,981171.4126,6890
1656201600000,2022-06-26,CFXUSDT,0.0577,0.0606,0.0535,0.0541,19228073.0,1107287.3626,5590
1656115200000,2022-06-25,CFXUSDT,0.0546,0.0631,0.0544,0.0578,55080906.0,3217277.8385,14864
1656028800000,2022-06-24,CFXUSDT,0.053,0.0555,0.0522,0.0546,17972915.0,969444.3456,5744
1655942400000,2022-06-23,CFXUSDT,0.0501,0.0531,0.0501,0.053,8542732.0,443207.7528,3195
1655856000000,2022-06-22,CFXUSDT,0.0532,0.0533,0.0497,0.0501,18484360.0,945133.6907,4562
1655769600000,2022-06-21,CFXUSDT,0.0513,0.056,0.0506,0.0532,18043988.0,968925.3976,5180
1655683200000,2022-06-20,CFXUSDT,0.0516,0.052,0.0492,0.0514,18028563.0,914815.2852,4995
1655596800000,2022-06-19,CFXUSDT,0.0487,0.0517,0.0466,0.0517,22239236.0,1094266.2648,6337
1655510400000,2022-06-18,CFXUSDT,0.0529,0.0536,0.0454,0.0486,25078394.0,1232695.7652,7737
1655424000000,2022-06-17,CFXUSDT,0.0504,0.055,0.0501,0.0529,23519288.0,1230543.0913,7395
1655337600000,2022-06-16,CFXUSDT,0.0562,0.0569,0.05,0.0504,20620332.0,1079932.2586,6640
1655251200000,2022-06-15,CFXUSDT,0.0566,0.057,0.0503,0.0561,25528874.0,1355374.2775,9698
1655164800000,2022-06-14,CFXUSDT,0.0567,0.06,0.0524,0.0567,25429275.0,1419446.1029,10177
1655078400000,2022-06-13,CFXUSDT,0.0636,0.0641,0.0551,0.0567,29748712.0,1730556.4311,10388
1654992000000,2022-06-12,CFXUSDT,0.0687,0.069,0.0627,0.0637,12560872.0,819393.3821,4730
1654905600000,2022-06-11,CFXUSDT,0.0729,0.0736,0.0671,0.0687,10453566.381,732957.20657,4747
1654819200000,2022-06-10,CFXUSDT,0.0774,0.0778,0.0725,0.0728,6936547.0,522387.4334,3633
1654732800000,2022-06-09,CFXUSDT,0.0783,0.0792,0.077,0.0774,5913017.0,460473.3775,2743
1654646400000,2022-06-08,CFXUSDT,0.0791,0.0813,0.0773,0.0782,12494575.0,990551.044,4965
1654560000000,2022-06-07,CFXUSDT,0.0814,0.0822,0.0763,0.0791,22300203.0,1754929.8787,9258
1654473600000,2022-06-06,CFXUSDT,0.08,0.0836,0.0798,0.0814,8517817.0,697537.2632,4497
1654387200000,2022-06-05,CFXUSDT,0.0812,0.0826,0.079,0.08,8203157.0,661332.451,3598
1654300800000,2022-06-04,CFXUSDT,0.0793,0.082,0.0782,0.0812,5998514.0,478866.6824,3296
1654214400000,2022-06-03,CFXUSDT,0.0817,0.0825,0.0776,0.0793,15177972.0,1207818.8675,6892
1654128000000,2022-06-02,CFXUSDT,0.0793,0.0825,0.0772,0.0817,11255040.0,901933.1407,5556
1654041600000,2022-06-01,CFXUSDT,0.0854,0.0875,0.0787,0.0794,21785516.0,1827741.8851,10004
1653955200000,2022-05-31,CFXUSDT,0.0872,0.0886,0.0839,0.0854,20911362.0,1793764.3742,8084
1653868800000,2022-05-30,CFXUSDT,0.085,0.0888,0.0835,0.0872,38109175.0,3285559.6322,13543
1653782400000,2022-05-29,CFXUSDT,0.088,0.0881,0.0847,0.0849,10768676.0,925028.4369,4829
1653696000000,2022-05-28,CFXUSDT,0.0925,0.0947,0.0877,0.0881,16476377.0,1491999.0742,5674
1653609600000,2022-05-27,CFXUSDT,0.0909,0.1011,0.0858,0.0926,63337360.0,5867238.5863,22282
